timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1190766935;-1190796437;40;0;29502;25000;-4502;118.008;-18.008;4
-1190739288;-1190766935;40;0;27647;25000;-2647;110.588;-10.588;5
-1190711788;-1190739288;40;0;27500;25000;-2500;110;-10;6
-1190684411;-1190711788;40;0;27377;25000;-2377;109.508;-9.508;7
-1190652966;-1190684411;40;0;31445;25000;-6445;125.78;-25.78;8
-1190619363;-1190652966;40;0;33603;25000;-8603;134.412;-34.412;9
-1190587166;-1190619363;40;0;32197;25000;-7197;128.788;-28.788;10
-1190558163;-1190587166;40;0;29003;25000;-4003;116.012;-16.012;11
-1190530460;-1190558163;40;0;27703;25000;-2703;110.812;-10.812;12
-1190501493;-1190530460;40;0;28967;25000;-3967;115.868;-15.868;13
-1190471185;-1190501493;40;0;30308;25000;-5308;121.232;-21.232;14
-1190443214;-1190471185;40;0;27971;25000;-2971;111.884;-11.884;15
-1190414755;-1190443214;40;0;28459;25000;-3459;113.836;-13.836;16
-1190386992;-1190414755;40;0;27763;25000;-2763;111.052;-11.052;17
-1190358671;-1190386992;40;0;28321;25000;-3321;113.284;-13.284;18
-1190330468;-1190358671;40;0;28203;25000;-3203;112.812;-12.812;19
-1190300310;-1190330468;40;0;30158;25000;-5158;120.632;-20.632;20
-1190272212;-1190300310;40;0;28098;25000;-3098;112.392;-12.392;21
-1190243021;-1190272212;40;0;29191;25000;-4191;116.764;-16.764;22
-1190215396;-1190243021;40;0;27625;25000;-2625;110.5;-10.5;23
-1190187392;-1190215396;40;0;28004;25000;-3004;112.016;-12.016;24
-1190159452;-1190187392;40;0;27940;25000;-2940;111.76;-11.76;25
-1190130812;-1190159452;40;0;28640;25000;-3640;114.56;-14.56;26
-1190101825;-1190130812;40;0;28987;25000;-3987;115.948;-15.948;27
-1190071676;-1190101825;40;0;30149;25000;-5149;120.596;-20.596;28
-1190044095;-1190071676;40;0;27581;25000;-2581;110.324;-10.324;29
-1190016603;-1190044095;40;0;27492;25000;-2492;109.968;-9.968;30
-1189989322;-1190016603;40;0;27281;25000;-2281;109.124;-9.124;31
-1189961327;-1189989322;40;0;27995;25000;-2995;111.98;-11.98;32
-1189932540;-1189961327;40;0;28787;25000;-3787;115.148;-15.148;33
-1189902397;-1189932540;40;0;30143;25000;-5143;120.572;-20.572;34
-1189872793;-1189902397;40;0;29604;25000;-4604;118.416;-18.416;35
-1189843814;-1189872793;40;0;28979;25000;-3979;115.916;-15.916;36
-1189816543;-1189843814;40;0;27271;25000;-2271;109.084;-9.084;37
-1189789186;-1189816543;40;0;27357;25000;-2357;109.428;-9.428;38
-1189761173;-1189789186;40;0;28013;25000;-3013;112.052;-12.052;39
-1189732843;-1189761173;40;0;28330;25000;-3330;113.32;-13.32;0
-1189704114;-1189732843;40;0;28729;25000;-3729;114.916;-14.916;1
-1189674784;-1189704114;40;0;29330;25000;-4330;117.32;-17.32;2
-1189647186;-1189674784;40;0;27598;25000;-2598;110.392;-10.392;3
-1189620468;-1189647186;40;0;26718;25000;-1718;106.872;-6.872;4
-1189593789;-1189620468;40;0;26679;25000;-1679;106.716;-6.716;5
-1189566046;-1189593789;40;0;27743;25000;-2743;110.972;-10.972;6
-1189537645;-1189566046;40;0;28401;25000;-3401;113.604;-13.604;7
-1189510246;-1189537645;40;0;27399;25000;-2399;109.596;-9.596;8
-1189480772;-1189510246;40;0;29474;25000;-4474;117.896;-17.896;9
-1189452078;-1189480772;40;0;28694;25000;-3694;114.776;-14.776;10
-1189424575;-1189452078;40;0;27503;25000;-2503;110.012;-10.012;11
-1189397803;-1189424575;40;0;26772;25000;-1772;107.088;-7.088;12
-1189368783;-1189397803;40;0;29020;25000;-4020;116.08;-16.08;13
-1189340813;-1189368783;40;0;27970;25000;-2970;111.88;-11.88;14
-1189313189;-1189340813;40;0;27624;25000;-2624;110.496;-10.496;15
-1189284689;-1189313189;40;0;28500;25000;-3500;114;-14;16
-1189256159;-1189284689;40;0;28530;25000;-3530;114.12;-14.12;17
-1189227967;-1189256159;40;0;28192;25000;-3192;112.768;-12.768;18
-1189197968;-1189227967;40;0;29999;25000;-4999;119.996;-19.996;19
-1189169059;-1189197968;40;0;28909;25000;-3909;115.636;-15.636;20
-1189140739;-1189169059;40;0;28320;25000;-3320;113.28;-13.28;21
-1189111521;-1189140739;40;0;29218;25000;-4218;116.872;-16.872;22
-1189083920;-1189111521;40;0;27601;25000;-2601;110.404;-10.404;23
-1189054972;-1189083920;40;0;28948;25000;-3948;115.792;-15.792;24
-1189026624;-1189054972;40;0;28348;25000;-3348;113.392;-13.392;25
-1188997621;-1189026624;40;0;29003;25000;-4003;116.012;-16.012;26
-1188969599;-1188997621;40;0;28022;25000;-3022;112.088;-12.088;27
-1188941185;-1188969599;40;0;28414;25000;-3414;113.656;-13.656;28
-1188913537;-1188941185;40;0;27648;25000;-2648;110.592;-10.592;29
-1188885865;-1188913537;40;0;27672;25000;-2672;110.688;-10.688;30
-1188857993;-1188885865;40;0;27872;25000;-2872;111.488;-11.488;31
-1188830051;-1188857993;40;0;27942;25000;-2942;111.768;-11.768;32
-1188800112;-1188830051;40;0;29939;25000;-4939;119.756;-19.756;33
-1188773472;-1188800112;40;0;26640;25000;-1640;106.56;-6.56;34
-1188745956;-1188773472;40;0;27516;25000;-2516;110.064;-10.064;35
-1188717852;-1188745956;40;0;28104;25000;-3104;112.416;-12.416;36
-1188691335;-1188717852;40;0;26517;25000;-1517;106.068;-6.068;37
-1188664665;-1188691335;40;0;26670;25000;-1670;106.68;-6.68;38
-1188635542;-1188664665;40;0;29123;25000;-4123;116.492;-16.492;39
-1188605944;-1188635542;40;0;29598;25000;-4598;118.392;-18.392;0
-1188576569;-1188605944;40;0;29375;25000;-4375;117.5;-17.5;1
-1188548925;-1188576569;40;0;27644;25000;-2644;110.576;-10.576;2
-1188521069;-1188548925;40;0;27856;25000;-2856;111.424;-11.424;3
-1188493140;-1188521069;40;0;27929;25000;-2929;111.716;-11.716;4
-1188464012;-1188493140;40;0;29128;25000;-4128;116.512;-16.512;5
-1188435740;-1188464012;40;0;28272;25000;-3272;113.088;-13.088;6
-1188401536;-1188435740;40;0;34204;25000;-9204;136.816;-36.816;7
