timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1185023933;-1185044055;50;18868;1254;20000;18746;6.27;93.73;40
-1185003945;-1185023933;50;18746;1242;20000;18758;6.21;93.79;41
-1184983785;-1185003945;50;18758;1402;20000;18598;7.01;92.99;42
-1184964006;-1184983785;50;18598;1181;20000;18819;5.905;94.095;43
-1184944392;-1184964006;50;18819;795;20000;19205;3.975;96.025;44
-1184923355;-1184944392;50;19205;1832;20000;18168;9.16;90.84;45
-1184904431;-1184923355;50;18168;756;20000;19244;3.78;96.22;46
-1184884455;-1184904431;50;19244;732;20000;19268;3.66;96.34;47
-1184864077;-1184884455;50;19268;1110;20000;18890;5.55;94.45;48
-1184843990;-1184864077;50;18890;1197;20000;18803;5.985;94.015;49
-1184824033;-1184843990;50;18803;1154;20000;18846;5.77;94.23;0
-1184803415;-1184824033;50;18846;1772;20000;18228;8.86;91.14;1
-1184784111;-1184803415;50;18228;1076;20000;18924;5.38;94.62;2
-1184764134;-1184784111;50;18924;1053;20000;18947;5.265;94.735;3
-1184744449;-1184764134;50;18947;738;20000;19262;3.69;96.31;4
-1184724084;-1184744449;50;19262;1103;20000;18897;5.515;94.485;5
-1184704454;-1184724084;50;18897;733;20000;19267;3.665;96.335;6
-1184684422;-1184704454;50;19267;765;20000;19235;3.825;96.175;7
-1184663946;-1184684422;50;19235;1241;20000;18759;6.205;93.795;8
-1184644193;-1184663946;50;18759;994;20000;19006;4.97;95.03;9
-1184624446;-1184644193;50;19006;741;20000;19259;3.705;96.295;10
-1184604375;-1184624446;50;19259;812;20000;19188;4.06;95.94;11
-1184584243;-1184604375;50;19188;944;20000;19056;4.72;95.28;12
-1184564446;-1184584243;50;19056;741;20000;19259;3.705;96.295;13
-1184544449;-1184564446;50;19259;738;20000;19262;3.69;96.31;14
-1184524275;-1184544449;50;19262;912;20000;19088;4.56;95.44;15
-1184504375;-1184524275;50;19088;812;20000;19188;4.06;95.94;16
-1184484319;-1184504375;50;19188;868;20000;19132;4.34;95.66;17
-1184464077;-1184484319;50;19132;1110;20000;18890;5.55;94.45;18
-1184444447;-1184464077;50;18890;740;20000;19260;3.7;96.3;19
-1184424505;-1184444447;50;19260;682;20000;19318;3.41;96.59;20
-1184404472;-1184424505;50;19318;715;20000;19285;3.575;96.425;21
-1184384199;-1184404472;50;19285;988;20000;19012;4.94;95.06;22
-1184364418;-1184384199;50;19012;769;20000;19231;3.845;96.155;23
-1184344460;-1184364418;50;19231;727;20000;19273;3.635;96.365;24
-1184324203;-1184344460;50;19273;984;20000;19016;4.92;95.08;25
-1184304421;-1184324203;50;19016;766;20000;19234;3.83;96.17;26
-1184284478;-1184304421;50;19234;709;20000;19291;3.545;96.455;27
-1184264160;-1184284478;50;19291;1027;20000;18973;5.135;94.865;28
-1184244243;-1184264160;50;18973;944;20000;19056;4.72;95.28;29
-1184224226;-1184244243;50;19056;961;20000;19039;4.805;95.195;30
-1184204112;-1184224226;50;19039;1075;20000;18925;5.375;94.625;31
-1184184235;-1184204112;50;18925;952;20000;19048;4.76;95.24;32
-1184164276;-1184184235;50;19048;911;20000;19089;4.555;95.445;33
